label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
64K,2730,65536,80,45801.8,45801.8,45801.8,15267.3,15267.3,15267.3,22900.9,22900.9,22900.9,22900.9,22900.9,22900.9,2,53.0
68K,2901,69632,75,48670.7,48670.7,48670.7,12167.7,12167.7,12167.7,24335.4,24335.4,24335.4,18251.5,18251.5,18251.5,2,53.0
72K,3072,73728,71,51539.6,51539.6,51539.6,12884.9,12884.9,12884.9,19327.4,25769.8,25769.8,19327.4,19327.4,19327.4,2,53.0
76K,3242,77824,67,54391.7,54391.7,54391.7,12798.1,12798.1,13597.9,19197.1,20396.9,20396.9,19197.1,20396.9,20396.9,2,53.0
81K,3456,82944,63,28991.0,28991.0,28991.0,14495.5,14495.5,14495.5,21743.3,21743.3,21743.3,21743.3,21743.3,21743.3,2,53.0
85K,3626,87040,60,30417.1,30417.1,30417.1,11587.5,11587.5,11587.5,22812.8,22812.8,22812.8,18250.3,18250.3,18250.3,2,53.0
91K,3882,93184,56,32564.6,32564.6,32564.6,12405.6,12405.6,13025.8,19538.7,22986.8,24423.4,18608.3,18608.3,19538.7,2,53.0
96K,4096,98304,53,34359.7,34359.7,34359.7,13089.4,13743.9,13743.9,19634.1,19634.1,20615.8,19634.1,19634.1,20615.8,2,53.0
102K,4352,104448,50,36507.2,36507.2,36507.2,11682.3,11682.3,11682.3,20861.3,21904.3,21904.3,17523.5,17523.5,17523.5,2,53.0
108K,4608,110592,47,25769.8,25769.8,25769.8,12369.5,12369.5,12369.5,22088.4,22088.4,22088.4,18554.3,18554.3,18554.3,2,53.0
114K,4864,116736,44,27201.5,27201.5,27201.5,13056.7,13056.7,13056.7,19585.1,19585.1,19585.1,19585.1,19585.1,19585.1,2,53.0
121K,5162,123904,42,28868.0,28868.0,28868.0,11945.4,11945.4,11945.4,20785.0,20785.0,20785.0,17918.1,17918.1,17918.1,2,52.0
128K,5461,131072,40,28190.9,30540.1,30540.1,12637.3,12637.3,12637.3,18955.9,18955.9,21988.9,18955.9,18955.9,18955.9,2,53.0
136K,5802,139264,37,32447.1,32447.1,32447.1,11799.0,11799.0,11799.0,20139.6,20139.6,20139.6,17698.4,17698.4,17698.4,2,52.0
144K,6144,147456,35,25769.8,31716.7,34359.7,12494.5,12494.5,12494.5,21326.7,21326.7,21326.7,18741.7,18741.7,18741.7,2,53.0
152K,6485,155648,33,25600.1,27200.1,27200.1,11452.7,11762.2,12800.0,19781.9,19781.9,19781.9,17179.0,17643.3,17643.3,2,53.0
161K,6869,164864,31,28810.7,28810.7,28810.7,12458.7,12458.7,12458.7,20953.2,20953.2,20953.2,18688.0,18688.0,18688.0,2,53.0
171K,7296,175104,29,30601.6,30601.6,30601.6,11942.1,11942.1,11942.1,19849.7,19849.7,19849.7,17486.7,17486.7,17913.2,2,53.0
181K,7722,185344,28,24676.9,24676.9,25910.7,12338.4,12639.4,12639.4,21008.7,21008.7,21008.7,18507.7,18507.7,18959.1,2,53.0
192K,8192,196608,26,26178.8,26178.8,27487.8,11951.2,11951.2,11951.2,19634.1,20113.0,20113.0,17926.8,17926.8,17926.8,2,53.0
203K,8661,207872,25,27677.6,27677.6,27677.6,11624.6,11624.6,11624.6,18953.1,18953.1,20758.2,17436.9,17436.9,18953.1,2,53.0
215K,9173,220160,23,29313.8,29313.8,29313.8,12311.8,12311.8,12311.8,20073.6,20073.6,20073.6,18467.7,18467.7,18467.7,2,53.0
228K,9728,233472,22,26113.4,26113.4,26113.4,12089.5,12089.5,12089.5,19585.1,19585.1,19585.1,18134.3,18134.3,18134.3,2,52.0
242K,10325,247808,21,27716.0,27716.0,27716.0,11946.5,11946.5,11946.5,19247.2,19247.2,19247.2,17919.8,17919.8,17919.8,2,53.0
256K,10922,262144,20,25274.6,25274.6,25274.6,11634.3,11822.0,11822.0,19989.9,20360.1,20360.1,17451.5,17451.5,17733.0,2,53.0
271K,11562,277504,18,26755.6,26755.6,26755.6,11580.8,12316.1,12316.1,19726.6,20066.7,20066.7,18474.1,18474.1,18772.1,2,53.0
287K,12245,293888,17,27391.6,28336.1,28336.1,12264.9,12264.9,12264.9,19881.0,19881.0,19881.0,18397.3,18397.3,18397.3,2,53.0
304K,12970,311296,16,26375.8,26375.8,26375.8,12088.9,12259.2,12259.2,19486.6,19486.6,19486.6,18388.8,18388.8,18388.8,2,53.0
323K,13781,330752,15,27200.8,28025.1,28025.1,11706.7,11706.7,12168.8,19538.6,19538.6,19538.6,17560.0,17560.0,17560.0,2,53.0
342K,14592,350208,14,26466.3,26466.3,26466.3,11798.2,11798.2,11798.2,19585.1,19585.1,19585.1,17697.3,17697.3,17697.3,2,53.0
362K,15445,370688,14,27276.2,27276.2,28013.4,11778.4,11778.4,11778.4,19434.3,19680.3,19680.3,17667.6,17667.6,17667.6,2,53.0
384K,16384,393216,13,26178.8,26178.8,26817.4,11951.2,11951.2,11951.2,19634.1,19870.7,19870.7,17926.8,17926.8,17926.8,2,53.0
406K,17322,415744,12,25270.9,25270.9,25270.9,11984.1,11984.1,12109.0,19814.7,19814.7,19814.7,17976.2,18163.4,18163.4,2,53.0
431K,18389,441344,11,26827.5,26827.5,26827.5,11753.0,11753.0,11866.0,19282.3,19282.3,19282.3,16982.5,17629.5,17799.0,2,53.0
456K,19456,466944,11,26113.4,26113.4,26113.4,11978.6,11978.6,11978.6,19391.1,19585.1,19585.1,17967.9,17967.9,17967.9,2,53.0
483K,20608,494592,10,25610.7,25610.7,25610.7,11820.3,11820.3,11820.3,19031.8,19031.8,19756.8,17144.4,17730.5,17730.5,2,53.0
512K,21845,524288,10,26654.4,27148.0,27148.0,12016.3,12016.3,12016.3,19460.1,19460.1,19460.1,17591.9,17591.9,18173.5,2,53.0
542K,23125,555008,9,25030.5,26303.3,26303.3,11846.5,11937.6,11937.6,19080.6,19238.3,19238.3,16278.6,17906.5,17906.5,2,53.0
575K,24533,588800,8,26133.0,26133.0,26554.5,11594.2,11930.3,11930.3,18996.7,18996.7,18996.7,17391.4,17895.5,17895.5,2,53.0
609K,25984,623616,8,26026.2,26026.2,26026.2,11862.3,11943.5,11943.5,19519.7,19519.7,19519.7,17793.4,17793.4,17793.4,2,53.0
645K,27520,660480,7,24624.5,26011.8,26011.8,11615.3,11915.1,11915.1,18974.3,19508.8,19508.8,17423.0,17872.6,17872.6,2,53.0
683K,29141,699392,7,26074.9,26074.9,26074.9,11710.3,11924.5,11924.5,19426.7,19426.7,19556.2,17460.9,17460.9,17886.8,2,53.0
724K,30890,741376,7,25912.4,25912.4,25912.4,11778.4,11778.4,11778.4,19076.6,19434.3,19556.5,17667.6,17667.6,17667.6,2,53.0
