label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
64K,5461,65536,16384,45810.2,45810.2,45810.2,6318.6,6318.6,6318.6,9478.0,9478.0,9478.0,9478.0,9478.0,9478.0,2200,54.0
72K,6144,73728,14563,51539.6,51539.6,51539.6,6247.2,6247.2,6247.2,9370.8,9370.8,9370.8,9370.8,9370.8,9370.8,2200,54.0
81K,6912,82944,12945,28991.0,28991.0,28991.0,6268.3,6268.3,6268.3,9402.5,9402.5,9402.5,9402.5,9402.5,9402.5,2200,54.0
91K,7765,93184,11522,32568.8,32568.8,32568.8,6354.9,6354.9,6354.9,9532.3,9532.3,9532.3,9532.3,9532.3,9532.3,2200,54.0
102K,8704,104448,10280,36507.2,36507.2,36507.2,6349.1,6349.1,6349.1,8761.7,8761.7,9523.6,8761.7,9523.6,9523.6,2200,54.0
114K,9728,116736,9198,27201.5,27201.5,27201.5,6044.8,6044.8,6044.8,9067.2,9067.2,9067.2,9067.2,9067.2,9067.2,2200,54.0
128K,10922,131072,8192,30540.1,30540.1,30540.1,6318.6,6318.6,6318.6,8866.5,8866.5,8866.5,8866.5,8866.5,8866.5,2200,54.0
144K,12288,147456,7281,34359.7,34359.7,34359.7,6154.0,6154.0,6154.0,9231.0,9231.0,9231.0,9231.0,9231.0,9231.0,2200,54.0
161K,13738,164864,6512,28810.7,28810.7,28810.7,6146.3,6146.3,6146.3,9219.4,9219.4,9219.4,9219.4,9219.4,9219.4,2200,54.0
181K,15445,185344,5793,25912.4,25912.4,25912.4,5889.2,5889.2,5889.2,8833.8,8833.8,8833.8,8833.8,8833.8,8833.8,2200,54.0
203K,17322,207872,5165,29061.5,29061.5,29061.5,6054.5,6054.5,6054.5,9081.7,9081.7,9081.7,9081.7,9081.7,9081.7,2200,54.0
228K,19456,233472,4599,26113.4,26113.4,26113.4,5989.3,5989.3,5989.3,8984.0,8984.0,8984.0,8984.0,8984.0,8984.0,2200,54.0
256K,21845,262144,4096,25275.7,25275.7,25275.7,6057.8,6057.8,6057.8,9086.7,9086.7,9086.7,9086.7,9086.7,9086.7,2200,54.0
287K,24490,293888,3653,28336.1,28336.1,28336.1,5954.7,5954.7,5954.7,8932.0,8932.0,8932.0,8932.0,8932.0,8932.0,2200,54.0
323K,27562,330752,3246,28025.1,28025.1,28025.1,5966.6,5966.6,5966.6,8949.9,8949.9,8949.9,8949.9,8949.9,8949.9,2200,54.0
362K,30890,370688,2896,28013.4,28013.4,28013.4,5889.2,5889.2,5889.2,8833.8,8833.8,8833.8,8833.8,8833.8,8833.8,2200,54.0
406K,34645,415744,2582,27678.4,27678.4,28353.5,5901.0,5901.0,5901.0,8851.5,8851.5,8851.5,8851.5,8851.5,8851.5,2200,54.0
456K,38912,466944,2299,26113.4,26113.4,26113.4,5881.4,5881.4,5881.4,8822.1,8822.1,8822.1,8822.1,8822.1,8822.1,2200,54.0
512K,43690,524288,2048,27148.0,27148.0,27148.0,5935.2,5935.2,5935.2,8902.8,8902.8,8902.8,8902.8,8902.8,8902.8,2200,54.0
575K,49066,588800,1823,26554.5,26554.5,26554.5,5859.0,5859.0,5859.0,8788.5,8788.5,8788.5,8788.5,8788.5,8788.5,2200,54.0
645K,55040,660480,1625,26011.8,26011.8,26011.8,5881.6,5881.6,5881.6,8822.5,8822.5,8822.5,8822.5,8822.5,8822.5,2200,54.0
724K,61781,741376,1448,26240.8,26240.8,26240.8,5889.3,5889.3,5889.3,8833.9,8833.9,8833.9,8833.9,8833.9,8833.9,2200,54.0
