label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
64K,2730,65536,16384,45801.8,45801.8,45801.8,22900.9,22900.9,22900.9,34351.3,34351.3,34351.3,22900.9,22900.9,22900.9,2200,54.0
72K,3072,73728,14563,51539.6,51539.6,51539.6,25769.8,25769.8,25769.8,25769.8,25769.8,25769.8,25769.8,25769.8,25769.8,2200,54.0
81K,3456,82944,12945,28991.0,28991.0,28991.0,19327.4,19327.4,19327.4,28991.0,28991.0,28991.0,21743.3,21743.3,21743.3,2200,54.0
91K,3882,93184,11522,32564.6,32564.6,32564.6,21709.7,21709.7,21709.7,24423.4,24423.4,24423.4,24423.4,24423.4,24423.4,2200,54.0
102K,4352,104448,10280,36507.2,36507.2,36507.2,18253.6,18253.6,18253.6,21904.3,21904.3,25769.8,21904.3,21904.3,21904.3,2200,55.0
114K,4864,116736,9198,27201.5,27201.5,27201.5,20401.1,20401.1,20401.1,24481.3,24481.3,24481.3,24481.3,24481.3,24481.3,2200,55.0
128K,5461,131072,8192,30540.1,30540.1,30540.1,18324.1,18324.1,18324.1,21988.9,21988.9,21988.9,21988.9,21988.9,21988.9,2200,55.0
144K,6144,147456,7281,34359.7,34359.7,34359.7,20615.8,20615.8,20615.8,21326.7,21326.7,24739.0,21326.7,21326.7,21326.7,2200,54.0
161K,6869,164864,6512,28810.7,28810.7,28810.7,18438.8,18438.8,18438.8,23843.3,23843.3,23843.3,23843.3,23843.3,23843.3,2200,55.0
181K,7722,185344,5793,25910.7,25910.7,25910.7,17869.5,17869.5,17869.5,23555.2,23555.2,23555.2,23555.2,23555.2,23555.2,2200,54.0
203K,8661,207872,5165,29061.5,29061.5,29061.5,17613.0,17613.0,17613.0,23563.4,23563.4,23563.4,21264.5,21264.5,21264.5,2200,54.0
228K,9728,233472,4599,26113.4,26113.4,26113.4,19782.9,19782.9,19782.9,23884.2,23884.2,23884.2,21288.1,21288.1,21288.1,2200,54.0
256K,10922,262144,4096,25274.6,25274.6,25274.6,17877.1,17877.1,17877.1,21988.9,21988.9,21988.9,21988.9,21988.9,21988.9,2200,55.0
287K,12245,293888,3653,28336.1,28336.1,28336.1,17864.1,17864.1,17864.1,22826.3,22826.3,22826.3,21252.1,21252.1,21252.1,2200,54.0
323K,13781,330752,3246,28025.1,28025.1,28025.1,18496.5,18496.5,18496.5,22374.9,22374.9,22374.9,22374.9,22374.9,22374.9,2200,54.0
362K,15445,370688,2896,28013.4,28013.4,28013.4,17870.6,17870.6,17870.6,21897.8,21897.8,21897.8,21897.8,21897.8,21897.8,2200,55.0
406K,17322,415744,2582,25270.9,27677.6,27677.6,18749.4,18749.4,18749.4,22072.0,22072.0,22072.0,21796.1,22072.0,22072.0,2200,55.0
456K,19456,466944,2299,26113.4,26113.4,26113.4,18389.7,18389.7,18389.7,22255.7,22255.7,22255.7,21288.1,21288.1,21288.1,2200,55.0
512K,21845,524288,2048,27148.0,27148.0,27148.0,17662.6,17662.6,17662.6,21989.9,21989.9,21989.9,21144.1,21144.1,21144.1,2200,54.0
575K,24533,588800,1823,26554.5,26554.5,26554.5,17895.5,17895.5,17895.5,23745.9,23745.9,23745.9,21107.5,21107.5,21107.5,2200,55.0
645K,27520,660480,1625,26011.8,26011.8,26011.8,17758.0,17758.0,17758.0,21309.6,21986.1,22162.0,21309.6,21309.6,21309.6,2200,55.0
724K,30890,741376,1448,26240.4,26240.4,26240.4,17717.9,17717.9,17717.9,21297.9,21897.8,21897.8,21153.0,21297.9,21297.9,2200,55.0
813K,34688,832512,1289,26453.1,26453.1,26453.1,17906.7,17906.7,17906.7,23124.6,23916.5,23916.5,19839.8,21422.1,21422.1,2200,55.0
912K,38912,933888,1149,26113.4,26113.4,26113.4,17764.2,17885.9,17885.9,20295.4,21761.2,21761.2,19883.3,21288.1,21288.1,2200,55.0
1.00M,43690,1048576,1024,25946.8,25946.8,25946.8,17556.8,17987.6,17987.6,20174.2,21453.6,21453.6,19810.7,21043.0,21453.6,2200,55.0
1.12M,49024,1176576,912,26319.6,26319.6,26319.6,17499.7,17880.1,17880.1,22533.9,23612.0,23612.0,19979.4,21089.4,21089.4,2200,55.0
1.26M,55040,1320960,812,25829.9,26011.8,26011.8,16638.2,17673.1,17673.1,22073.7,23576.6,23677.4,18909.6,21309.6,21309.6,2200,55.0
1.41M,61781,1482752,724,24245.9,26075.8,26075.8,16785.6,17718.2,17718.2,19313.9,21519.3,21519.3,19018.6,21225.5,21225.5,2200,55.0
1.59M,69333,1664000,645,24233.6,25849.2,25849.2,15880.1,17624.5,17624.5,21085.5,23499.3,23499.3,19173.9,21085.5,21085.5,2200,54.0
1.78M,77866,1868800,574,24418.2,25997.5,25997.5,15980.1,17834.5,17834.5,19644.7,21533.6,21533.6,19071.2,21014.1,21241.9,2200,55.0
2.00M,87381,2097152,512,24131.9,25947.1,25947.1,16243.9,17716.1,17716.1,19417.3,21401.6,21401.6,19080.4,21195.3,21195.3,2200,55.0
2.25M,98090,2354176,456,24934.5,25814.5,25814.5,17648.0,17648.0,17648.0,22646.9,23342.9,23342.9,18665.5,21189.0,21234.5,2200,55.0
2.52M,110080,2641920,406,22591.3,23830.1,24873.2,16024.6,17464.2,17630.9,19304.9,20482.5,22029.9,17153.3,18346.1,20332.1,2200,55.0
2.83M,123562,2965504,362,21261.8,23557.1,23557.1,15104.0,17061.9,17347.5,17768.8,19649.5,20323.8,17251.3,19901.1,20323.8,2200,54.0
3.17M,138709,3329024,322,20918.2,21547.7,21800.0,16302.3,16802.5,17048.7,18372.2,18894.3,19339.2,16904.2,19127.3,19153.5,2200,55.0
3.56M,155690,3736576,287,17413.6,19171.0,20446.5,14157.4,15782.7,16299.8,15440.7,16979.7,17146.9,15380.0,17146.9,17550.1,2200,55.0
4.00M,174762,4194304,256,15452.0,17478.5,17689.4,13133.3,14959.3,15113.5,12906.9,14721.4,15139.5,13895.8,15595.9,16007.4,2200,55.0
4.49M,196181,4708352,228,14263.8,16354.6,16686.3,12408.6,14202.2,15167.6,11713.1,13761.8,13848.7,12491.0,14574.3,14994.9,2200,55.0
5.04M,220202,5284864,203,13301.1,15250.3,15941.2,11936.6,13446.3,13993.9,10324.3,11715.8,12233.0,11172.5,12768.6,13483.1,2200,55.0
5.66M,247168,5932032,181,12798.7,15038.2,15093.0,11591.3,13540.5,13584.9,9431.7,11127.3,11217.6,10592.1,12256.5,12335.5,2200,55.0
6.35M,277418,6658048,161,12786.5,14647.7,14799.1,11379.7,12901.7,13166.3,9247.0,10602.1,10670.9,9850.4,11558.7,11621.2,2200,55.0
7.13M,311381,7473152,143,12679.9,14521.5,14653.9,12649.2,12939.0,13208.9,9728.3,10351.6,10437.8,10676.0,11036.8,11103.3,2200,55.0
8.00M,349525,8388608,128,13978.7,14267.8,14488.1,12831.6,13162.9,13282.1,9555.8,10231.0,10342.3,9278.6,10713.9,10882.9,2200,55.0
8.98M,392320,9415680,114,13974.6,14170.2,14394.8,13384.9,13412.2,13557.2,10279.1,10303.2,10360.0,10531.3,10624.8,10699.6,2200,55.0
10.08M,440362,10568704,101,13518.8,14039.0,14153.3,13122.6,13500.3,13574.7,9905.8,10280.2,10361.9,9970.4,10514.3,10549.3,2200,55.0
11.31M,494293,11863040,90,11966.6,13949.3,14145.6,11893.7,13544.9,13804.2,8986.3,10280.4,10424.7,9138.1,10526.2,10638.7,2200,55.0
12.70M,554837,13316096,80,11760.7,14003.2,14114.7,11481.5,13785.4,13976.9,8996.7,10402.6,10476.8,9089.0,10552.0,10628.3,2200,55.0
14.25M,622762,14946304,71,13234.0,13898.5,13977.5,13555.9,13917.0,14317.5,9544.7,10251.7,10429.1,9471.1,10495.4,10532.5,2200,55.0
16.00M,699050,16777216,64,12001.1,13411.2,13793.7,11912.8,13737.2,13966.2,9029.7,9554.5,10432.7,9083.3,9473.4,10512.2,2200,55.0
17.96M,784640,18831360,57,11899.7,13748.4,14075.5,12144.0,13996.9,14185.4,10130.1,10403.6,10474.0,9084.9,10520.0,10560.8,2200,55.0
20.16M,880768,21138432,50,13790.8,14019.8,14079.9,13980.0,14076.5,14177.8,10402.6,10439.3,10449.1,10558.7,10568.7,10585.1,2200,55.0
22.63M,988586,23726080,45,11708.9,13827.2,14023.0,12308.5,14034.9,14188.0,9014.8,10419.3,10456.5,9100.5,10526.2,10614.9,2200,55.0
25.40M,1109674,26632192,40,13805.9,13935.1,14321.0,14003.2,14048.1,14069.3,10416.2,10447.4,10489.6,10497.5,10551.0,10597.0,2200,55.0
28.51M,1245568,29893632,35,13773.1,13985.1,14015.5,13773.1,13957.0,14134.0,10340.9,10394.0,10463.4,10426.9,10507.2,10537.3,2200,55.0
32.00M,1398101,33554432,32,11537.7,13885.6,13999.5,11596.2,13893.8,14005.8,8756.1,10346.1,10401.1,8643.7,10446.7,10509.1,2200,55.0
35.92M,1569322,37663744,28,11722.6,13750.5,13997.3,11933.8,13895.7,13958.3,8872.4,10315.6,10393.0,9003.9,10404.6,10474.3,2200,55.0
40.32M,1761493,42275840,25,13531.6,13821.1,13958.2,13713.7,13930.2,14056.1,10253.7,10308.6,10404.7,10299.0,10432.9,10474.8,2200,55.0
45.25M,1977216,47453184,22,13617.5,13659.5,14029.3,13790.1,14079.9,14238.5,10225.2,10343.1,10399.3,10343.1,10447.4,10484.8,2200,55.0
50.80M,2219349,53264384,20,13299.2,13439.6,13710.6,13800.8,13941.6,14153.6,10276.8,10310.5,10350.6,10386.7,10413.3,10448.4,2200,55.0
57.02M,2491136,59787264,17,13393.5,13520.2,13858.7,13758.3,13854.1,13971.0,10206.2,10293.7,10342.1,10356.2,10408.7,10448.6,2200,56.0
64.00M,2796202,67108864,16,12819.4,13569.3,13745.2,13291.5,13736.2,14007.9,10055.2,10250.4,10319.9,10322.9,10368.9,10401.1,2200,55.0
71.84M,3138645,75327488,14,13495.9,13605.8,13638.4,13542.8,13702.2,13895.7,9853.3,10237.7,10314.6,10275.3,10361.3,10378.6,2200,55.0
80.63M,3522986,84551680,12,10359.9,13547.1,13782.4,10884.1,13609.5,13900.7,8429.9,10247.2,10337.7,8582.2,10361.6,10426.8,2200,55.0
90.51M,3954432,94906368,11,11649.6,13376.6,13453.2,10931.7,13396.1,13748.7,8790.0,10224.9,10270.3,8962.0,10333.7,10405.3,2200,56.0
101.59M,4438698,106528768,10,12969.2,13284.4,13887.0,13244.8,13676.0,13827.7,10132.1,10228.6,10310.5,10271.8,10326.4,10382.1,2200,55.0
114.04M,4982272,119574528,8,11389.7,13393.5,13849.5,11612.0,13008.4,13758.3,9270.8,10146.3,10323.2,8955.6,10300.1,10429.5,2200,55.0
128.00M,5592405,134217728,8,11366.5,13418.9,14271.0,11376.9,13473.3,13787.1,8916.3,10230.1,10372.4,8876.8,10321.2,10423.1,2200,55.0
143.67M,6277248,150653952,7,11116.5,11378.3,12705.4,11062.5,11569.6,13519.2,8732.6,8772.2,10263.9,8640.9,8921.3,10272.3,2200,55.0
161.27M,7045973,169103360,6,11356.7,12890.1,13724.8,12835.5,13117.9,13674.8,8862.9,9901.9,10266.8,8959.2,10028.7,10372.5,2200,56.0
181.02M,7908864,189812736,5,11125.5,13143.0,13460.3,11077.7,13503.5,13612.2,8757.3,10151.0,10222.0,8900.5,10285.1,10333.9,2200,55.0
203.19M,8877397,213057536,5,11376.9,12875.3,13566.3,11156.0,13324.5,13770.2,8758.7,9807.5,10459.4,8846.5,9339.0,10425.1,2200,55.0
228.07M,9964544,239149056,5,10666.6,12213.4,13137.2,10503.6,12468.5,13482.9,7993.8,9319.6,10142.0,8058.7,9332.2,10241.9,2200,55.0
256.00M,11184810,268435456,5,11187.6,13329.1,13901.8,10987.2,12775.3,13018.8,8905.0,9347.9,10147.6,8978.4,10146.5,10318.1,2200,55.0
287.35M,12554538,301308928,5,10872.6,12297.8,13514.1,10711.5,12795.3,13342.6,8712.8,9909.5,10174.9,8690.8,10183.5,10381.4,2200,55.0
322.54M,14091989,338207744,5,11034.1,12570.2,12979.8,10397.6,12611.7,13531.2,8578.3,9682.1,10175.9,8719.6,9990.2,10364.0,2200,55.0
362.04M,15817728,379625472,5,11434.1,13193.2,13554.9,12006.4,13604.6,13801.8,9922.0,10152.1,10250.5,10187.4,10358.1,10385.0,2200,55.0
406.38M,17754794,426115072,5,10956.8,13472.2,13740.8,11227.9,13195.7,13785.5,8768.2,9652.4,10324.6,8867.6,10283.2,10380.6,2200,55.0
456.14M,19929088,478298112,5,12965.6,13420.2,14102.9,13414.0,13563.5,13818.6,10179.2,10236.9,10336.0,10269.0,10294.2,10424.3,2200,55.0
512.00M,22369621,536870912,5,11165.6,12852.8,13963.5,11339.3,13525.1,13672.9,8846.0,10144.4,10293.2,8926.3,10336.6,10393.6,2200,55.0
574.70M,25109034,602616832,5,9475.6,12459.9,13868.2,11105.6,13659.3,13832.3,8339.5,10118.5,10274.6,8107.6,10302.1,10421.0,2200,55.0
645.08M,28183936,676414464,5,10836.9,11720.5,13353.8,10492.7,11219.8,13292.7,8187.5,8811.6,10273.1,8106.7,8133.6,10417.1,2200,55.0
724.08M,31635413,759249920,5,10553.5,12806.2,13503.1,10828.2,12432.8,12804.3,8487.5,10036.2,10208.5,8742.1,10216.1,10380.6,2200,55.0
812.75M,35509546,852229120,5,11529.8,12546.7,13057.1,11528.4,13318.5,13541.3,8840.2,10017.6,10246.1,8997.0,10123.6,10380.6,2200,55.0
912.28M,39858133,956595200,5,11414.5,12464.5,13800.1,11108.8,12200.4,13378.0,8771.7,9415.6,10315.8,8943.3,9470.9,10510.3,2200,55.0
1.00G,44739242,1073741824,5,10791.7,11852.1,12810.3,11345.6,11395.1,13474.4,8130.7,8790.7,10112.0,8256.8,8959.6,10271.2,2200,55.0
1.12G,50218112,1205234688,5,11287.9,12557.4,13532.4,10357.0,12006.5,13390.8,8645.4,9670.4,10344.7,8352.9,9678.8,10437.8,2200,55.0
1.26G,56367914,1352829952,5,11189.7,12126.2,13473.9,11873.2,13472.7,14145.9,8819.7,10170.7,10255.8,8385.3,10152.8,10418.5,2200,54.0
1.41G,63270826,1518499840,5,11300.2,12070.8,13512.2,11051.7,12999.8,13523.8,8307.8,10089.0,10230.6,8420.4,9970.2,10339.4,2200,54.0
1.59G,71019136,1704459264,5,11335.4,12752.6,13540.3,10622.2,12681.2,13708.8,8728.6,9939.3,10288.1,8090.4,10167.5,10402.6,2200,54.0
1.78G,79716266,1913190400,5,12417.1,12465.6,13064.5,12727.6,13892.5,14495.3,10106.4,10273.7,10411.1,10245.7,10456.0,10598.7,2200,54.0
2.00G,89478485,2147483648,5,12908.0,13374.5,13950.0,13217.3,13271.8,13784.3,10164.8,10183.2,10306.0,9926.2,10303.7,10428.0,2200,54.0
