label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
64K,5461,65536,16384,45810.2,45810.2,45810.2,15270.1,15270.1,15270.1,22905.1,22905.1,22905.1,22905.1,22905.1,22905.1,2200,54.0
72K,6144,73728,14563,51539.6,51539.6,51539.6,17179.9,17179.9,17179.9,25769.8,25769.8,25769.8,25769.8,25769.8,25769.8,2200,54.0
81K,6912,82944,12945,28991.0,28991.0,28991.0,14495.5,14495.5,14495.5,21743.3,21743.3,21743.3,21743.3,21743.3,21743.3,2200,54.0
91K,7765,93184,11522,32568.8,32568.8,32568.8,16284.4,16284.4,16284.4,24426.6,24426.6,24426.6,24426.6,24426.6,24426.6,2200,54.0
102K,8704,104448,10280,36507.2,36507.2,36507.2,14602.9,14602.9,14602.9,21904.3,21904.3,21904.3,21904.3,21904.3,21904.3,2200,54.0
114K,9728,116736,9198,27201.5,27201.5,27201.5,13056.7,13056.7,13056.7,24481.3,24481.3,24481.3,19585.1,19585.1,19585.1,2200,54.0
128K,10922,131072,8192,30540.1,30540.1,30540.1,14659.3,14659.3,14659.3,21988.9,21988.9,21988.9,21988.9,21988.9,21988.9,2200,54.0
144K,12288,147456,7281,34359.7,34359.7,34359.7,14217.8,14217.8,14217.8,21326.7,21326.7,21326.7,21326.7,21326.7,21326.7,2200,54.0
161K,13738,164864,6512,28810.7,28810.7,28810.7,13968.8,13968.8,13968.8,23843.3,23843.3,23843.3,20953.2,20953.2,20953.2,2200,54.0
181K,15445,185344,5793,25912.4,25912.4,25912.4,14006.7,14006.7,14006.7,23556.7,23556.7,23556.7,21010.1,21010.1,21010.1,2200,54.0
203K,17322,207872,5165,29061.5,29061.5,29061.5,13838.8,14176.3,14176.3,21264.5,21264.5,23563.4,21264.5,21264.5,21264.5,2200,54.0
228K,19456,233472,4599,26113.4,26113.4,26113.4,13056.7,13056.7,13056.7,21288.1,21288.1,21288.1,19585.1,19585.1,19585.1,2200,54.0
256K,21845,262144,4096,25275.7,25275.7,25275.7,13574.0,13574.0,13574.0,21989.9,21989.9,21989.9,20361.0,20361.0,20361.0,2200,54.0
287K,24490,293888,3653,28336.1,28336.1,28336.1,13254.0,13254.0,13254.0,21252.1,21252.1,21252.1,19881.0,19881.0,19881.0,2200,54.0
323K,27562,330752,3246,28025.1,28025.1,28025.1,13025.7,13025.7,13025.7,22374.9,22374.9,22374.9,19538.6,19538.6,19538.6,2200,54.0
362K,30890,370688,2896,28013.4,28013.4,28013.4,13120.2,13120.2,13120.2,21897.8,21897.8,21897.8,19680.3,19680.3,19680.3,2200,54.0
406K,34645,415744,2582,25271.6,25271.6,27678.4,13210.2,13210.2,13210.2,22072.7,22072.7,22072.7,19815.2,19815.2,19815.2,2200,54.0
456K,38912,466944,2299,26113.4,26113.4,26113.4,13056.7,13056.7,13056.7,21288.1,21288.1,21288.1,19585.1,19585.1,19585.1,2200,54.0
512K,43690,524288,2048,27148.0,27148.0,27148.0,12973.4,12973.4,12973.4,21144.1,21144.1,21989.9,19460.1,19460.1,19460.1,2200,54.0
575K,49066,588800,1823,26554.5,26554.5,26554.5,13171.1,13171.1,13171.1,21107.5,21107.5,21107.5,19756.6,19756.6,19756.6,2200,54.0
645K,55040,660480,1625,26011.8,26011.8,26011.8,13005.9,13005.9,13005.9,21309.6,21309.6,21309.6,19372.4,19508.8,19508.8,2200,54.0
724K,61781,741376,1448,26240.8,26240.8,26240.8,12123.0,13037.9,13037.9,21298.2,21298.2,21298.2,19076.9,19556.9,19556.9,2200,54.0
813K,69376,832512,1289,26453.1,26453.1,26453.1,12124.3,12932.6,12932.6,20784.6,21422.1,21422.1,18874.6,19398.9,19398.9,2200,54.0
912K,77824,933888,1149,26113.4,26113.4,26113.4,12991.7,12991.7,12991.7,21288.1,21288.1,21288.1,19487.6,19487.6,19487.6,2200,54.0
1.00M,87381,1048576,1024,25947.1,25947.1,25947.1,12973.5,12973.5,12973.5,21453.8,21453.8,21453.8,19460.3,19460.3,19460.3,2200,54.0
1.12M,98048,1176576,912,26110.7,26319.6,26319.6,11543.7,12901.7,12901.7,20308.3,21456.2,21456.2,17315.5,19352.6,19352.6,2200,54.0
1.26M,110080,1320960,812,25829.9,26011.8,26011.8,11763.3,12960.3,12960.3,19171.3,21309.6,21309.6,17644.9,19440.4,19440.4,2200,54.0
1.41M,123562,1482752,724,24105.0,26075.8,26075.8,11778.6,12875.9,12875.9,19254.1,21225.5,21225.5,17667.8,19313.9,19313.9,2200,54.0
1.59M,138666,1664000,645,25849.2,25849.2,25849.2,12924.6,12924.6,12924.6,21085.5,21343.4,21343.4,19386.9,19386.9,19386.9,2200,54.0
1.78M,155733,1868800,574,24418.4,25490.4,25997.7,11664.1,12870.8,12870.8,19306.2,21014.2,21242.0,17496.2,19306.2,19306.2,2200,54.0
2.00M,174762,2097152,512,25060.0,25947.1,25947.1,12831.6,12831.6,12831.6,20745.4,21195.3,21195.3,19080.4,19247.4,19247.4,2200,54.0
2.25M,196181,2354176,456,22777.7,25814.7,25814.7,11291.2,12882.1,12882.1,18251.6,21234.7,21234.7,16484.3,19323.1,19323.1,2200,54.0
2.52M,220160,2641920,406,24141.6,24461.4,25212.8,12780.9,12869.9,12869.9,20332.1,20635.0,20986.8,18749.6,18877.4,19171.3,2200,54.0
2.83M,247125,2965504,362,22230.9,23292.5,23828.0,12679.1,12757.1,12757.1,19649.6,19901.1,20191.9,18211.1,18536.8,18536.8,2200,54.0
